geonameid,name,asciiname,alternatenames,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code,admin3 code,admin4 code,population,elevation,dem,timezone,modification date
712967,Bakhmach,Bakhmach,"Bachmatsch,Bakhmach,Bakhmach Romenskiy,Бахмач",51.18144,32.83463,P,PPL,UA,,2,,,,23379,,144,Europe/Kiev,2012-10-07
712969,Bakhchisaray,Bakhchisaray,"Bachtjisaraj,Bachtschyssaraj,Bachtsjisaraj,Bahcesaray,Bahcisarajo,Bahçesaray,Bakczysaraj,Bakhchisaraj,Bakhchisaray,Baĥĉisarajo,Baɣca Saraj,Baɣča Saraj,bafuchisarai,baheuchisalai,Бахчисарай,バフチサライ,바흐치사라이",44.75525,33.85782,P,PPLA2,UA,,11,712968,11152799,,27351,,173,Europe/Simferopol,2017-03-28
712992,Bagerovo,Bagerovo,"Bagerove,Bagerovo,Багерове,Багерово",45.37417,36.29705,P,PPLA3,UA,,11,703233,11128211,,4315,,85,Europe/Simferopol,2016-05-10
713055,Babanka,Babanka,"Babanka,Babynka,Бабанка",48.70971,30.44827,P,PPL,UA,,1,,,,2460,,151,Europe/Kiev,2017-03-30
713062,Azovskoye,Azovskoye,"Azovs'ke,Azovskoe,Azovskoye,Kalaj,Азовское,Азовське,Кала́й",45.58604,34.5668,P,PPLA3,UA,,11,709333,11152844,,3656,26,26,Europe/Simferopol,2016-06-07
713094,Abrikosovo,Abrikosovo,"Abrikosove,Abrikosovo,Ajgashen,Ordzhak-Dzhabu,Абрикосове,Абрикосово,Айгаше́н,Орджа́к-Джабу́",45.69236,34.10156,P,PPLA3,UA,,11,697572,11152990,,778,24,26,Europe/Simferopol,2016-08-10
713122,Avdiyivka,Avdiyivka,"Avdeevka,Avdeyevka,Avdiivka,Avdiyivka,Awdejewka,Авдеевка,Авдіївка",48.13989,37.74255,P,PPL,UA,,5,,,,35826,,212,Europe/Kiev,2014-04-30
713126,Auly,Auly,"Auli,Auly,Romankovo,Аули,Аулы",48.5666,34.46111,P,PPL,UA,,4,,,,4167,,61,Europe/Kiev,2016-05-07
713146,Ostanino,Ostanino,"Ojsul,Ostanine,Ostanino,Ойсу́л,Останино,Останіне",45.32731,35.91295,P,PPLA3,UA,,11,703233,11131623,,1327,,20,Europe/Simferopol,2016-05-12
713154,Askaniya-Nova,Askaniya-Nova,"Askanija-Nova,Askanija-Nowo,Askaniya-Nova,Chapli,Аскания-Нова,Асканія-Нова",46.45135,33.86889,P,PPL,UA,,8,,,,3309,,30,Europe/Kiev,2017-08-28
713163,Artsyz,Artsyz,"Archiz,Arcis,Arciz,Arcyz,Arcyzas,Arsis,Arsiz,Artsis,Artsiz,Artsyz,Artsız,Arzys,a er qi zi,artsizi,artsyz,Арциз,Արցիզ,آرتسیز,أرتسيز,არციზი,阿爾齊茲",45.99194,29.41824,P,PPLA2,UA,,17,713164,,,15761,,17,Europe/Kiev,2017-03-14
